ins,l_cycle,ref_cycle,event1,event2,event3,event4
50039,0,190500,9803,477,4240,1512
50086,0,86700,12871,371,2215,593
50024,0,45450,12711,188,321,131
50018,0,197400,10824,504,6119,1171
50007,0,178650,11922,1163,4775,1592
50087,0,111900,11475,758,2662,448
50107,0,77850,12425,822,906,299
50160,0,66300,12266,577,611,228
50014,0,68100,12405,663,520,139
50078,0,116400,11556,585,3566,753
50070,0,79350,12471,647,1809,284
50036,0,67050,12050,554,1119,112
50044,0,119850,11278,574,2564,950
50091,0,48600,11891,252,380,124
50035,0,66900,11773,320,955,190
50129,0,67200,11960,458,633,309
50029,0,125550,11706,384,2670,640
50072,0,94500,10671,403,1706,343
50152,0,42150,6533,134,1058,276
50100,0,52500,8532,261,989,302
50186,0,43200,12268,260,420,114
50017,0,92850,11283,480,2449,659
50075,0,113250,13278,644,2637,396
50111,0,63000,12488,192,1923,47
50061,0,94050,12697,472,3985,209
50068,0,57750,12504,172,1330,1
50116,0,54600,12419,95,1446,20
50042,0,83550,11677,332,2981,425
50099,0,94200,12005,308,2513,399
50108,0,56850,12471,126,1468,25
50065,0,59100,12539,93,1777,11
50036,0,78600,11308,247,3266,301
50073,0,81450,8899,165,1943,455
50111,0,63000,13606,255,1756,31
50168,0,53850,12669,111,1180,20
50154,0,60150,11254,159,2080,149
50070,0,80100,9521,419,1996,490
50143,0,34050,7721,105,275,138
50111,0,49050,10634,332,370,16
50043,0,43350,11624,200,68,10
50005,0,55800,10845,263,477,110
50076,0,166050,13541,549,5572,4181
50072,0,48150,12499,157,1336,158
50205,0,43350,12352,92,1326,47
50091,0,54900,13225,216,1730,457
50105,0,45750,12338,115,1054,44
50186,0,43200,12325,83,1066,23
50127,0,112200,12556,367,3583,2034
5690,0,19650,1174,98,648,380
